"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C6, C10, C11, C12, C13, C15, C16";"C_0402_1005Metric";8;"0.1uF";;;
2;"C2, C3";"C_0603_1608Metric";2;"10uF";;;
3;"C4, C5";"C_0402_1005Metric";2;"33pF";;;
4;"C8, C14";"C_0402_1005Metric";2;"1uF";;;
5;"D1";"LED_0402_1005Metric";1;"LED";;;
6;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
7;"J2";"USB_A_Molex_67643_Horizontal";1;"USB_A";;;
8;"J3, J4";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
9;"R1, R2";"R_0402_1005Metric";2;"5.1K";;;
10;"R3, R5";"R_0402_1005Metric";2;"1K";;;
11;"R4, R6";"R_0402_1005Metric";2;"10K";;;
12;"R7";"R_0402_1005Metric";1;"100 ohm";;;
13;"R8, R9";"R_0402_1005Metric";2;"27 ohm";;;
14;"SW1, SW2";"SW_SPST_B3S-1000";2;"SW_Push";;;
15;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
16;"U2";"SOT-23";1;"MCP1700x-330xxTT";;;
17;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVSS";;;
18;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND23_Small";;;
